uid,anime_uid,Mean_score
2720,2970,7
2724,529,9
2728,267,10
2731,1482,10
2732,56,7
2737,339,7
2739,199,10
2740,236,10
2743,431,10
2746,2942,9
2748,477,9
2751,525,8
2752,1536,8
2756,269,9
2757,203,8
2758,20,7
2760,1955,4
2761,30,1
2762,249,5
2764,813,5
2765,567,9
2766,1,10
2767,889,3
2768,618,2
2769,121,10
2772,21,10
2775,2494,8
2776,2402,10
2777,158,9
2780,2841,7
2781,1164,10
2785,1022,9
2786,1640,9
2787,1408,8
2791,1530,10
2792,1726,2
2795,2934,9
2797,595,7
2800,196,7
2801,914,7
2804,1575,10
2805,1292,10
2808,177,10
2811,106,10
2812,741,9
2813,3743,10
2815,1815,9
2817,2924,9
2818,1827,10
2819,889,9
2820,1575,9
2821,33,10
2822,3299,5
2826,1535,9
2827,101,8
2829,1374,9
2832,1530,10
2833,2476,7
2834,2001,9
2837,934,9
2840,2238,8
2841,30,7
2842,525,10
2844,199,8
2846,812,7
2847,228,8
2852,569,10
2855,101,10
2857,356,10
2858,2604,7
2860,1531,9
2862,1606,9
2866,356,3
2867,1827,5
2869,2248,2
2874,2236,8
2875,572,10
2876,1818,7
2879,279,8
2883,1530,9
2884,20,1
2885,2494,7
2886,147,9
2888,2966,8
2889,240,8
2899,553,9
2900,358,8
2901,72,6
2902,356,7
2903,1698,8
2904,1827,9
2905,687,8
2908,2994,8
2909,2356,7
2911,1629,10
2912,3001,9
2913,298,7
2914,2162,6
2916,1004,9
2920,3801,5
2922,934,10
2923,877,9
2930,256,9
2952,84,6
2954,1731,7
2960,2969,8
2962,982,10
2965,883,9
2966,2404,9
2968,2001,7
2970,481,9
2971,392,10
2974,2216,9
2976,523,10
2977,578,10
2978,136,9
2985,1331,8
2986,197,6
2988,940,9
2989,1592,6
2990,412,5
2991,777,6
2993,1592,8
2997,1303,6
2999,535,10
3000,2001,9
3001,388,7
3002,2158,10
3003,861,8
3006,2476,2
3007,3231,8
3010,1530,9
3011,3420,8
3014,736,6
3017,2746,8
3021,3225,8
3025,2216,7
3030,919,8
3032,1519,9
3034,356,9
3035,2969,3
3037,64,9
3042,268,10
3043,158,9
3044,1079,6
3045,566,7
3046,384,7
3047,1167,8
3048,121,10
3049,339,10
3050,1087,6
3051,1723,1
3052,617,7
3053,3231,7
3054,1723,7
3057,1482,10
3058,1690,8
3059,879,7
3060,2993,7
3067,878,9
3072,374,6
3073,164,10
3077,59,10
3080,2154,10
3081,268,7
3082,2924,10
3083,1887,10
3087,1729,9
3088,572,8
3089,66,4
3090,731,7
3091,2251,9
3092,61,5
3093,3342,10
3094,79,4
3096,227,7
3099,1723,9
3103,1530,10
3104,2924,10
3105,2966,9
3106,2562,9
3107,934,9
3108,1575,7
3109,189,8
3113,1686,8
3114,834,6
3116,150,10
3117,1818,9
3118,1535,10
3119,704,8
3121,587,7
3122,2924,10
3123,1887,8
3124,113,8
3125,356,7
3126,2104,8
3127,2251,10
3128,1575,9
3129,1691,6
3130,1840,7
3131,1195,8
3132,2001,10
3133,237,10
3134,72,9
3135,1039,8
3136,1543,9
3137,849,9
3138,1723,8
3139,59,4
3140,3297,9
3145,107,10
3146,71,8
3148,597,6
3153,227,10
3162,2476,10
3165,392,8
3166,535,8
3169,514,10
3175,917,8
3176,27,10
3178,1688,7
3179,147,8
3180,1943,9
3181,325,7
3182,813,7
3184,376,9
3185,2158,9
3186,343,7
3188,122,8
3197,1723,9
3200,478,2
3201,1359,6
3202,2025,7
3209,3342,4
3213,2034,8
3215,267,8
3218,2963,10
3231,2889,9
3234,274,6
3235,325,4
3236,75,6
3237,789,9
3239,2924,9
3240,478,6
3241,2236,9
3242,1571,10
3245,170,8
3249,226,8
3253,57,8
3255,2034,8
3256,2924,10
3257,2685,10
3259,2603,10
3270,2001,10
3271,60,8
3273,2981,10
3274,237,7
3276,226,7
3277,81,9
3279,93,9
3281,94,7
3282,1808,9
3290,239,9
3292,444,9
3298,889,8
3299,226,8
3309,2167,9
3310,1961,7
3311,942,10
3318,1858,9
3319,427,8
3321,199,10
3322,1688,8
3324,269,3
3329,150,10
3330,1681,10
3331,789,5
3332,272,7
3334,1,9
3336,1613,5
3339,1606,9
3342,2369,8
3348,397,9
3349,3299,8
3357,1554,10
3358,366,8
3361,2685,9
3366,3299,4
3367,2476,6
3371,2927,9
3375,249,9
3377,2927,7
3380,934,8
3381,2950,9
3382,250,9
3383,589,10
3385,1210,7
3386,820,9
3389,1723,9
3390,587,7
3392,3299,7
3394,2787,9
3398,3299,7
3399,389,5
3402,2369,8
3403,3887,9
3404,1455,3
3405,1606,10
3407,150,10
3408,3269,6
3409,2985,8
3411,61,10
3413,99,9
3414,20,10
3415,80,6
3416,1498,6
3417,819,6
3418,85,4
3419,284,7
3421,1594,10
3422,2166,7
3424,66,9
3426,596,7
3432,168,8
3433,420,8
3434,853,9
3435,87,7
3438,1606,7
3439,1535,10
3440,2923,9
3441,3225,5
3442,1017,8
3443,2685,8
3444,98,10
3445,59,7
3447,3420,8
3448,76,7
3449,2167,9
3451,2476,8
3453,522,9
3456,2787,9
3457,2167,10
3458,145,9
3461,962,10
3464,883,7
3465,2787,10
3467,7,7
3471,877,10
3472,582,10
3473,770,8
3474,2476,7
3479,1246,9
3480,861,10
3482,2966,7
3483,1594,8
3485,2993,7
3487,2993,10
3488,2581,8
3489,1292,10
3491,2129,9
3492,2167,7
3493,384,9
3494,395,9
3495,245,10
3496,2129,2
3497,2476,9
3498,1519,10
3499,2129,10
3500,184,8
3503,3298,8
3505,832,5
3506,2581,10
3510,177,10
3511,67,10
3512,48,9
3513,849,10
3514,1487,8
3515,2581,8
3517,2746,6
